Gene_ID,signcon,randomSummary,randomCi.lb,randomCi.ub,randomP,het_QE,het_QEp,het_QM,het_QMp,error,rank,Gene_Symbol,Gene_Description
100128081,-1,-2.409426049,-3.93943347,-0.879418629,0.002025189,0,1,9.526564463,0.002025189,FALSE,1407,,
4485,2,1.532557366,0.641137087,2.423977645,0.00075269,0.045528246,0.831035656,11.35441182,0.00075269,FALSE,1408,MST1,macrophage stimulating 1
64794,2,1.290444243,0.577636669,2.003251818,0.00038779,0.087911836,0.7668488,12.59012551,0.00038779,FALSE,1409,DDX31,DEAD-box helicase 31
634,-2,-1.767849402,-2.832615069,-0.703083736,0.00113727,0.000484316,0.982442223,10.58957758,0.00113727,FALSE,1410,CEACAM1,CEA cell adhesion molecule 1
7832,-2,-1.594884186,-2.532578742,-0.657189631,0.000857243,1.071183665,0.300678237,11.11300979,0.000857243,FALSE,1411,BTG2,BTG anti-proliferation factor 2
84899,2,1.375695849,0.599479095,2.151912602,0.000513408,0.012322597,0.911610644,12.06632479,0.000513408,FALSE,1412,TMTC4,transmembrane O-mannosyltransferase targeting cadherins 4
27085,2,1.642552753,0.66823028,2.616875227,0.000952521,0.011656414,0.914023556,10.91765572,0.000952521,FALSE,1413,MTBP,MDM2 binding protein
92126,-2,-2.082746172,-3.378900299,-0.786592046,0.001636062,1.650282437,0.198920494,9.918718806,0.001636062,FALSE,1414,DSEL,dermatan sulfate epimerase like
100652759,-1,-2.529731012,-4.148536452,-0.910925573,0.002192293,0,1,9.381138798,0.002192293,FALSE,1415,,
84650,2,1.443748701,0.615807661,2.271689741,0.000631411,0.269688667,0.603540694,11.68101479,0.000631411,FALSE,1416,EBPL,EBP like
1410,-2,-3.19297264,-5.283989952,-1.101955328,0.002763811,5.417625416,0.019934453,8.957180363,0.002763811,FALSE,1417,CRYAB,crystallin alpha B
131096,2,2.747053922,0.972679133,4.521428712,0.002410309,2.839923204,0.091948608,9.207459859,0.002410309,FALSE,1418,KCNH8,potassium voltage-gated channel subfamily H member 8
100861548,-2,-1.294234632,-2.01185723,-0.576612033,0.000408082,0.052180151,0.819312164,12.49481996,0.000408082,FALSE,1419,,
5463,-2,-1.554069574,-2.463695002,-0.644444145,0.000812375,0.338994108,0.560410418,11.21274414,0.000812375,FALSE,1420,POU6F1,POU class 6 homeobox 1
84971,-2,-1.385099247,-2.171404565,-0.59879393,0.000555351,0.009593193,0.921976088,11.91998045,0.000555351,FALSE,1421,ATG4D,autophagy related 4D cysteine peptidase
7414,-2,-2.71310204,-4.465471843,-0.960732236,0.002409274,2.792086296,0.094730822,9.208246058,0.002409274,FALSE,1422,VCL,vinculin
4609,2,1.560274065,0.644188867,2.476359263,0.000843213,0.267830025,0.604791138,11.14361834,0.000843213,FALSE,1423,MYC,"MYC proto-oncogene, bHLH transcription factor"
1555,2,1.800155258,0.707633539,2.892676978,0.001240305,0.17930807,0.67196855,10.42931896,0.001240305,FALSE,1424,CYP2B6,cytochrome P450 family 2 subfamily B member 6
9289,2,1.465398905,0.618989299,2.311808512,0.000690538,0.04698382,0.828397323,11.5145439,0.000690538,FALSE,1425,ADGRG1,adhesion G protein-coupled receptor G1
57687,-2,-2.271971478,-3.708799354,-0.835143603,0.001940598,1.652285029,0.198648212,9.604891032,0.001940598,FALSE,1426,VAT1L,vesicle amine transport 1 like
6660,-1,-2.063214949,-3.349606419,-0.776823479,0.001669158,0,1,9.881863038,0.001669158,FALSE,1427,SOX5,SRY-box transcription factor 5
