Gene_Symbol,log2FC,P.Value,Gene_Description,Significance
C2orf88,-2.889526921,4.03e-07,chromosome 2 open reading frame 88,Down
GALNT16,-3.02492881,8.53e-07,polypeptide N-acetylgalactosaminyltransferase 16,Down
PTGDR,-2.882315599,4.11e-07,prostaglandin D2 receptor,Down
SORBS2,-3.497775852,5.59e-06,sorbin and SH3 domain containing 2,Down
B3GALT1,-4.245852421,2.96e-05,"beta-1,3-galactosyltransferase 1",Down
ZNF385B,-4.218071456,2.9e-05,zinc finger protein 385B,Down
FAM72C,3.254362179,2.85e-06,family with sequence similarity 72 member C,Up
ARID3A,2.46004732,1.79e-08,AT-rich interaction domain 3A,Up
SLC6A14,3.786304705,1.35e-05,solute carrier family 6 member 14,Up
CRTAC1,-3.666652871,1.03e-05,cartilage acidic protein 1,Down
LGR6,2.677986073,1.47e-07,leucine rich repeat containing G protein-coupled receptor 6,Up
CBLIF,3.870803986,1.72e-05,cobalamin binding intrinsic factor,Up
SORCS1,-4.176833248,2.97e-05,sortilin related VPS10 domain containing receptor 1,Down
SCHIP1,-3.084389437,1.79e-06,schwannomin interacting protein 1,Down
UGT1A1,-2.99363621,1.25e-06,UDP glucuronosyltransferase family 1 member A1,Down
KIF2C,2.450376705,2.79e-08,kinesin family member 2C,Up
PALLD,-2.677082518,2.06e-07,"palladin, cytoskeletal associated protein",Down
CREB3L3,-4.124885112,3.03e-05,cAMP responsive element binding protein 3 like 3,Down
AHCYL2,-2.407675798,1.98e-08,adenosylhomocysteinase like 2,Down
MELK,2.416415673,2.23e-08,maternal embryonic leucine zipper kinase,Up
SAPCD2,2.690257983,2.55e-07,suppressor APC domain containing 2,Up
OR51E2,-4.046200923,2.8e-05,olfactory receptor family 51 subfamily E member 2,Down
SFRP1,-3.651126198,1.28e-05,secreted frizzled related protein 1,Down
CNTFR,-4.324112115,4.37e-05,ciliary neurotrophic factor receptor,Down
DCLK1,-3.338310469,5.61e-06,doublecortin like kinase 1,Down
PDZD4,-3.568154706,1.07e-05,PDZ domain containing 4,Down
PRUNE2,-2.840020313,7.09e-07,prune homolog 2 with BCH domain,Down
PABPC4L,-3.869065367,2.14e-05,poly(A) binding protein cytoplasmic 4 like,Down
DEPDC1B,2.65144534,2.2e-07,DEP domain containing 1B,Up
GNG4,2.832448162,7.95e-07,G protein subunit gamma 4,Up
SYNPO2,-5.339213031,0.000130374,synaptopodin 2,Down
XKRX,2.828600357,7.86e-07,XK related X-linked,Up
TESC,2.825713644,8.24e-07,tescalcin,Up
IQGAP3,2.475342887,6.6e-08,IQ motif containing GTPase activating protein 3,Up
CLDN23,-2.450763348,5.33e-08,claudin 23,Down
GPR22,3.552394979,1.22e-05,G protein-coupled receptor 22,Up
TNNI3,4.54616694,6.56e-05,"troponin I3, cardiac type",Up
TDO2,3.004147261,2.05e-06,"tryptophan 2,3-dioxygenase",Up
MYRFL,4.480659441,6.13e-05,myelin regulatory factor like,Up
DOCK3,-3.654492445,1.59e-05,dedicator of cytokinesis 3,Down
MSLN,2.738799166,5.28e-07,mesothelin,Up
ACHE,-2.619835559,2.38e-07,acetylcholinesterase (Yt blood group),Down
MPDZ,-3.009316956,2.19e-06,multiple PDZ domain crumbs cell polarity complex component,Down
PTK7,2.371097316,3.1e-08,protein tyrosine kinase 7 (inactive),Up
DIAPH3,2.484762915,9.82e-08,diaphanous related formin 3,Up
TCF7,3.012370806,2.54e-06,transcription factor 7,Up
KCNV2,3.570577047,1.5e-05,potassium voltage-gated channel modifier subfamily V member 2,Up
PEG10,-2.82124501,1.07e-06,paternally expressed 10,Down
SMOX,2.39282061,4.85e-08,spermine oxidase,Up
BRCA2,2.352107652,3.18e-08,BRCA2 DNA repair associated,Up
BARX2,-2.790263199,9.72e-07,BARX homeobox 2,Down
SPTBN2,2.441185925,8.02e-08,"spectrin beta, non-erythrocytic 2",Up
TRIP13,2.391537615,5.08e-08,thyroid hormone receptor interactor 13,Up
PPM1H,2.426881071,7.73e-08,"protein phosphatase, Mg2+/Mn2+ dependent 1H",Up
DPT,-4.357052437,6.33e-05,dermatopontin,Down
