Gene_Symbol,log2FC,P.Value,Gene_Description,Significance
TMEM100,-2.880912352,1.73e-06,transmembrane protein 100,Down
RDH5,-2.358911212,4.53e-08,retinol dehydrogenase 5,Down
MT1H,-3.311500992,9.46e-06,metallothionein 1H,Down
EPB41L3,-2.329450986,3.95e-08,erythrocyte membrane protein band 4.1 like 3,Down
UGT1A10,-3.24620866,8.31e-06,UDP glucuronosyltransferase family 1 member A10,Down
CLCA4,-7.951849513,0.000477987,chloride channel accessory 4,Down
FOXP3,2.548248257,3.2e-07,forkhead box P3,Up
DGKG,-2.851718749,1.92e-06,diacylglycerol kinase gamma,Down
SLC9A3,-2.949783209,3.06e-06,solute carrier family 9 member A3,Down
CXCL6,3.291540408,1.03e-05,C-X-C motif chemokine ligand 6,Up
FER1L6,-3.235882106,8.8e-06,fer-1 like family member 6,Down
ACTG2,-5.716551465,0.000226153,"actin gamma 2, smooth muscle",Down
FGL2,-2.266417681,3.58e-08,fibrinogen like 2,Down
GBA3,-3.657250866,2.77e-05,glucosylceramidase beta 3 (gene/pseudogene),Down
ABCA9,-2.795510715,1.94e-06,ATP binding cassette subfamily A member 9,Down
E2F7,2.538910546,4.34e-07,E2F transcription factor 7,Up
TM4SF4,5.203916433,0.000171231,transmembrane 4 L six family member 4,Up
FOXQ1,5.614701672,0.000223749,forkhead box Q1,Up
SV2B,-3.925490019,4.52e-05,synaptic vesicle glycoprotein 2B,Down
CFD,-2.711869406,1.3e-06,complement factor D,Down
RSPO2,-3.821398407,3.89e-05,R-spondin 2,Down
VSNL1,3.318593881,1.36e-05,visinin like 1,Up
LRP8,2.540144271,5.17e-07,LDL receptor related protein 8,Up
SLC25A23,-2.24218107,4.21e-08,solute carrier family 25 member 23,Down
PLCE1,-2.184831787,2.29e-08,phospholipase C epsilon 1,Down
SHC4,-3.8791806,4.8e-05,SHC adaptor protein 4,Down
PKIB,-2.740649805,2.1e-06,cAMP-dependent protein kinase inhibitor beta,Down
ACKR2,-3.258566803,1.4e-05,atypical chemokine receptor 2,Down
CFAP251,3.323231153,1.72e-05,cilia and flagella associated protein 251,Up
ANLN,2.421619057,3.16e-07,"anillin, actin binding protein",Up
KRT20,-2.535655995,7.34e-07,keratin 20,Down
ACACB,-2.066171886,6.58e-09,acetyl-CoA carboxylase beta,Down
FBXO27,-3.38191203,2.14e-05,F-box protein 27,Down
ECT2,2.212581516,5.43e-08,epithelial cell transforming 2,Up
FXYD5,2.232998769,7.01e-08,FXYD domain containing ion transport regulator 5,Up
PTGS1,-3.024872604,8.12e-06,prostaglandin-endoperoxide synthase 1,Down
MCM10,2.373571375,2.77e-07,minichromosome maintenance 10 replication initiation factor,Up
TROAP,2.446842306,5.04e-07,trophinin associated protein,Up
SCUBE2,-2.638272964,1.67e-06,"signal peptide, CUB domain and EGF like domain containing 2",Down
ITGA2,2.354863766,2.58e-07,integrin subunit alpha 2,Up
GPT,-2.345640243,2.41e-07,glutamic--pyruvic transaminase,Down
CKAP2,2.214717966,6.99e-08,cytoskeleton associated protein 2,Up
CENPF,2.291225375,1.71e-07,centromere protein F,Up
GCG,-4.194948703,9.32e-05,glucagon,Down
TMIGD1,-6.408679057,0.000396821,transmembrane and immunoglobulin domain containing 1,Down
ST6GALNAC6,-2.589441996,1.6e-06,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 6",Down
EDN3,-2.692369424,2.73e-06,endothelin 3,Down
PCDH9,-3.601127074,4.06e-05,protocadherin 9,Down
GDPD2,-3.172870951,1.58e-05,glycerophosphodiester phosphodiesterase domain containing 2,Down
ADAMTSL1,-2.563389281,1.45e-06,ADAMTS like 1,Down
CAMK2A,-3.565665895,4.01e-05,calcium/calmodulin dependent protein kinase II alpha,Down
DLGAP5,2.276511581,2.08e-07,DLG associated protein 5,Up
CEP55,2.459052037,8.55e-07,centrosomal protein 55,Up
CTSG,-2.931419103,8.46e-06,cathepsin G,Down
MATN2,-2.352766736,4.35e-07,matrilin 2,Down
STK32A,-3.067234164,1.37e-05,serine/threonine kinase 32A,Down
MT1E,-2.597003353,2.25e-06,metallothionein 1E,Down
ATRNL1,-3.118754215,1.65e-05,attractin like 1,Down
CDCA3,2.229721216,1.82e-07,cell division cycle associated 3,Up
AHNAK,-2.24516358,2.18e-07,AHNAK nucleoprotein,Down
LPP,-2.131118737,7.25e-08,LIM domain containing preferred translocation partner in lipoma,Down
DUSP26,-3.52420483,4.39e-05,dual specificity phosphatase 26,Down
LIFR,-3.177446096,2.08e-05,LIF receptor subunit alpha,Down
RETSAT,-2.151157986,9.41e-08,retinol saturase,Down
DCHS2,-3.655188367,5.69e-05,dachsous cadherin-related 2,Down
CMA1,-2.843331525,8.13e-06,chymase 1,Down
STUM,-3.500598702,4.47e-05,"stum, mechanosensory transduction mediator homolog",Down
ZDHHC15,-3.632347378,5.64e-05,zinc finger DHHC-type palmitoyltransferase 15,Down
KLF4,-2.722606151,5.49e-06,KLF transcription factor 4,Down
FZD10,3.802424951,7.65e-05,frizzled class receptor 10,Up
TNFRSF6B,3.163259434,2.34e-05,TNF receptor superfamily member 6b,Up
SOX4,2.029078389,3.62e-08,SRY-box transcription factor 4,Up
ADHFE1,-2.423540417,1.32e-06,alcohol dehydrogenase iron containing 1,Down
IGSF10,-2.664828608,4.71e-06,immunoglobulin superfamily member 10,Down
EYA2,-3.005324547,1.61e-05,EYA transcriptional coactivator and phosphatase 2,Down
DAO,-3.923780659,9.52e-05,D-amino acid oxidase,Down
OLR1,3.215415329,2.91e-05,oxidized low density lipoprotein receptor 1,Up
HPGD,-2.548904752,2.98e-06,15-hydroxyprostaglandin dehydrogenase,Down
TNNT3,-3.459060924,4.85e-05,"troponin T3, fast skeletal type",Down
CDCA5,2.349069508,9.19e-07,cell division cycle associated 5,Up
FCN3,3.830045372,8.84e-05,ficolin 3,Up
RIC3,-3.545075513,5.76e-05,RIC3 acetylcholine receptor chaperone,Down
PHYHIP,-3.498500984,5.37e-05,phytanoyl-CoA 2-hydroxylase interacting protein,Down
WNT9A,-3.256955934,3.34e-05,Wnt family member 9A,Down
DMPK,-2.323064853,8.38e-07,DM1 protein kinase,Down
CNTN3,-2.613902229,4.49e-06,contactin 3,Down
PHLPP2,-2.170242586,2.49e-07,PH domain and leucine rich repeat protein phosphatase 2,Down
MAPT,-3.35677094,4.29e-05,microtubule associated protein tau,Down
SCIN,-2.352464962,1.08e-06,scinderin,Down
FGF2,-2.376299919,1.28e-06,fibroblast growth factor 2,Down
GTF2IRD1,2.065770838,9.14e-08,GTF2I repeat domain containing 1,Up
CRIPTO3,3.783290723,9.15e-05,"cripto, EGF-CFC family member 3",Up
TGFBI,2.287230577,7.72e-07,transforming growth factor beta induced,Up
CGREF1,2.264803295,6.53e-07,cell growth regulator with EF-hand domain 1,Up
TMPRSS3,2.560820346,3.97e-06,transmembrane serine protease 3,Up
MAD2L1,2.235830059,5.24e-07,mitotic arrest deficient 2 like 1,Up
SGK1,-2.941931864,1.71e-05,serum/glucocorticoid regulated kinase 1,Down
CNTNAP3,-3.356501079,4.64e-05,contactin associated protein family member 3,Down
FAM72A,2.404838097,1.77e-06,family with sequence similarity 72 member A,Up
MYH3,-2.990888208,2e-05,myosin heavy chain 3,Down
SLC7A11,2.491106134,2.93e-06,solute carrier family 7 member 11,Up
JPH2,-4.568020685,0.000215615,junctophilin 2,Down
NCAPG,2.236875746,5.89e-07,non-SMC condensin I complex subunit G,Up
SLC22A3,2.436955803,2.46e-06,solute carrier family 22 member 3,Up
NOVA1,-3.254535618,4.12e-05,NOVA alternative splicing regulator 1,Down
SYP,-2.558870699,4.68e-06,synaptophysin,Down
CCNB1,2.251564648,7.51e-07,cyclin B1,Up
PLPP1,-2.13060667,3.06e-07,phospholipid phosphatase 1,Down
MADCAM1,-2.793500268,1.3e-05,mucosal vascular addressin cell adhesion molecule 1,Down
CNTNAP3C,-3.149491636,3.57e-05,contactin associated protein family member 3C,Down
FGFR2,-2.601869965,6.47e-06,fibroblast growth factor receptor 2,Down
FOXM1,2.193344555,5.82e-07,forkhead box M1,Up
H2BC17,2.232521583,8.16e-07,H2B clustered histone 17,Up
MEF2C,-2.777320392,1.32e-05,myocyte enhancer factor 2C,Down
TMT1A,-2.206596484,6.79e-07,thiol methyltransferase 1A,Down
SDCBP2,-2.199413258,7.36e-07,syndecan binding protein 2,Down
EREG,2.410362469,2.96e-06,epiregulin,Up
FOXF1,-2.66350223,9.57e-06,forkhead box F1,Down
BUB1,2.246662825,1.07e-06,BUB1 mitotic checkpoint serine/threonine kinase,Up
CYP26B1,-2.430152791,3.37e-06,cytochrome P450 family 26 subfamily B member 1,Down
TAS2R46,3.929907242,0.000139267,taste 2 receptor member 46,Up
TSPEAR,3.855888517,0.000127738,thrombospondin type laminin G domain and EAR repeats,Up
DISP2,-2.324425648,1.85e-06,dispatched RND transporter family member 2,Down
RAD51AP1,2.222163731,9.8e-07,RAD51 associated protein 1,Up
FOXF2,-3.409798933,7.02e-05,forkhead box F2,Down
PPP2R3A,-2.08258957,3.14e-07,protein phosphatase 2 regulatory subunit B''alpha,Down
GRHL1,2.686246093,1.17e-05,grainyhead like transcription factor 1,Up
LRRC7,-3.610997049,9.84e-05,leucine rich repeat containing 7,Down
MCMDC2,3.954305492,0.000151665,minichromosome maintenance domain containing 2,Up
ADCY9,-2.105223375,4.1e-07,adenylate cyclase 9,Down
C8G,-3.447464067,7.75e-05,complement C8 gamma chain,Down
MT1X,-2.30601557,2.07e-06,metallothionein 1X,Down
PLAU,2.414419882,3.99e-06,"plasminogen activator, urokinase",Up
FOXS1,4.211563904,0.000207357,forkhead box S1,Up
RAD54B,2.188143847,1.07e-06,RAD54 homolog B,Up
HSPA2,-2.73246985,1.65e-05,heat shock protein family A (Hsp70) member 2,Down
MAP2,-3.168550515,5.23e-05,microtubule associated protein 2,Down
LRRC4B,-3.300927189,6.76e-05,leucine rich repeat containing 4B,Down
AXIN2,2.227034738,1.56e-06,axin 2,Up
DMRTA1,-3.389793626,8.15e-05,DMRT like family A1,Down
SORD,2.116656351,8.3e-07,sorbitol dehydrogenase,Up
SGCA,-4.235448466,0.00023389,sarcoglycan alpha,Down
EPHB3,2.373424409,4.47e-06,EPH receptor B3,Up
IL6R,-2.165669575,1.25e-06,interleukin 6 receptor,Down
TMCC3,-2.156470318,1.19e-06,transmembrane and coiled-coil domain family 3,Down
TUBAL3,-2.387037868,4.97e-06,tubulin alpha like 3,Down
SPOCD1,4.111302548,0.000217094,SPOC domain containing 1,Up
RGS9,-2.685234864,1.78e-05,regulator of G protein signaling 9,Down
GGH,2.291235099,3.19e-06,gamma-glutamyl hydrolase,Up
BMP5,-2.64238478,1.58e-05,bone morphogenetic protein 5,Down
LYVE1,-3.894110653,0.000179592,lymphatic vessel endothelial hyaluronan receptor 1,Down
ABCC8,-3.301953891,8.13e-05,ATP binding cassette subfamily C member 8,Down
PLAC9,-2.351212226,5.03e-06,placenta associated 9,Down
ADCY5,-3.699359379,0.000149771,adenylate cyclase 5,Down
CYP19A1,3.614688331,0.000137994,cytochrome P450 family 19 subfamily A member 1,Up
RRM2,2.1878196,2.11e-06,ribonucleotide reductase regulatory subunit M2,Up
CKM,-3.205397284,7.47e-05,"creatine kinase, M-type",Down
KIAA1549,2.020049634,6.42e-07,KIAA1549,Up
PDE9A,-2.302307184,4.7e-06,phosphodiesterase 9A,Down
AJUBA,2.102712567,1.37e-06,ajuba LIM protein,Up
LRRN4CL,-2.420470068,8.79e-06,LRRN4 C-terminal like,Down
ASPA,-2.57045207,1.63e-05,aspartoacylase,Down
SMTN,-2.384729191,7.77e-06,smoothelin,Down
UNC5CL,2.330355804,6e-06,unc-5 family C-terminal like,Up
EFNA5,-2.417732882,9.11e-06,ephrin A5,Down
HTR1D,3.475718936,0.000127094,5-hydroxytryptamine receptor 1D,Up
TENM1,-3.468282666,0.000126834,teneurin transmembrane protein 1,Down
HAGHL,2.446171667,1.08e-05,hydroxyacylglutathione hydrolase like,Up
PLXNB3,-3.146095127,7.8e-05,plexin B3,Down
NEU4,-2.408381131,9.45e-06,neuraminidase 4,Down
TDRD5,3.783753359,0.000193012,tudor domain containing 5,Up
CHL1,-2.959498225,5.42e-05,cell adhesion molecule L1 like,Down
DPF3,-2.33351824,6.83e-06,double PHD fingers 3,Down
KCNN2,-3.267541653,9.84e-05,potassium calcium-activated channel subfamily N member 2,Down
MMP12,2.66926922,2.56e-05,matrix metallopeptidase 12,Up
SPTB,-2.609599407,2.12e-05,"spectrin beta, erythrocytic",Down
SYNE1,-2.199350669,3.35e-06,spectrin repeat containing nuclear envelope protein 1,Down
SMIM5,-2.938535551,5.32e-05,small integral membrane protein 5,Down
CENPA,2.307710478,6.42e-06,centromere protein A,Up
H2AC17,2.104802077,1.9e-06,H2A clustered histone 17,Up
GINS1,2.211291256,3.81e-06,GINS complex subunit 1,Up
MT1G,-2.685677812,2.84e-05,metallothionein 1G,Down
SETBP1,-2.950920437,5.86e-05,SET binding protein 1,Down
PTPN21,-1.945010338,5.97e-07,protein tyrosine phosphatase non-receptor type 21,Down
TMEM37,-2.685199389,3.08e-05,transmembrane protein 37,Down
ITM2A,-2.092372662,2.05e-06,integral membrane protein 2A,Down
NR1H4,-3.287510795,0.000113971,nuclear receptor subfamily 1 group H member 4,Down
CCDC68,-2.198398475,4.46e-06,coiled-coil domain containing 68,Down
ENTPD5,-2.01611253,1.34e-06,ectonucleoside triphosphate diphosphohydrolase 5 (inactive),Down
POLQ,2.219707117,5.22e-06,DNA polymerase theta,Up
GRIN1,-3.520922534,0.000165592,glutamate ionotropic receptor NMDA type subunit 1,Down
RELL1,-2.04712403,1.75e-06,RELT like 1,Down
VEGFD,-3.185387653,0.000102358,vascular endothelial growth factor D,Down
TCF21,-2.418782629,1.4e-05,transcription factor 21,Down
EFNA3,2.340982154,1.01e-05,ephrin A3,Up
P2RX1,-2.144858007,3.7e-06,purinergic receptor P2X 1,Down
ALK,-3.373775636,0.000142889,ALK receptor tyrosine kinase,Down
ZNF575,-2.227240011,6.14e-06,zinc finger protein 575,Down
CCL23,-2.212657152,5.77e-06,C-C motif chemokine ligand 23,Down
NUSAP1,2.004561095,1.56e-06,nucleolar and spindle associated protein 1,Up
DYNC1I1,-2.739559365,4.53e-05,dynein cytoplasmic 1 intermediate chain 1,Down
ABCC2,2.987355484,8.01e-05,ATP binding cassette subfamily C member 2,Up
TMEM59L,-3.333077524,0.000143378,transmembrane protein 59 like,Down
NPY1R,-2.560498734,2.77e-05,neuropeptide Y receptor Y1,Down
GNE,-1.998956083,1.72e-06,glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase,Down
ARHGAP20,-2.43195104,1.81e-05,Rho GTPase activating protein 20,Down
CCDC152,-2.348118959,1.31e-05,coiled-coil domain containing 152,Down
BUB1B,2.036163427,2.34e-06,BUB1 mitotic checkpoint serine/threonine kinase B,Up
PSAT1,2.234127763,7.84e-06,phosphoserine aminotransferase 1,Up
DEPDC1,2.296651049,1.08e-05,DEP domain containing 1,Up
LILRB5,-2.038280915,2.54e-06,leukocyte immunoglobulin like receptor B5,Down
TMEM82,-2.676606128,4.28e-05,transmembrane protein 82,Down
STBD1,-2.03934389,2.64e-06,starch binding domain 1,Down
INSC,-2.788181251,5.76e-05,INSC spindle orientation adaptor protein,Down
ULBP3,2.315296666,1.27e-05,UL16 binding protein 3,Up
CDC6,2.060243351,3.28e-06,cell division cycle 6,Up
CDKL1,-1.992259641,2.15e-06,cyclin dependent kinase like 1,Down
OSBPL3,2.00611327,2.43e-06,oxysterol binding protein like 3,Up
NAALADL1,-2.370265097,1.73e-05,N-acetylated alpha-linked acidic dipeptidase like 1,Down
SELENOP,-2.332860369,1.54e-05,selenoprotein P,Down
CXCL10,2.463229669,2.53e-05,C-X-C motif chemokine ligand 10,Up
STYXL2,4.444181401,0.000465556,serine/threonine/tyrosine interacting like 2,Up
DUSP1,-2.025900074,3.14e-06,dual specificity phosphatase 1,Down
AURKA,2.0068386,2.76e-06,aurora kinase A,Up
SLC16A9,-2.515116853,3.13e-05,solute carrier family 16 member 9,Down
RYR2,-3.285796247,0.000167769,ryanodine receptor 2,Down
PAQR4,2.030377142,3.72e-06,progestin and adipoQ receptor family member 4,Up
ZBTB47,-2.422464533,2.53e-05,zinc finger and BTB domain containing 47,Down
CHRNA7,-2.65193155,5.11e-05,cholinergic receptor nicotinic alpha 7 subunit,Down
CBX7,-1.987284087,2.88e-06,chromobox 7,Down
CDC20,2.078853692,5.32e-06,cell division cycle 20,Up
DLG2,-3.230491157,0.000162031,discs large MAGUK scaffold protein 2,Down
WNK3,-3.106338665,0.000134512,WNK lysine deficient protein kinase 3,Down
CCL3L3,3.121060446,0.000138306,C-C motif chemokine ligand 3 like 3,Up
CMBL,-1.924797895,1.93e-06,carboxymethylenebutenolidase homolog,Down
MUSTN1,-2.344339716,2.03e-05,"musculoskeletal, embryonic nuclear protein 1",Down
FAM227A,2.996909136,0.000113261,family with sequence similarity 227 member A,Up
HBA1,-2.433465054,2.93e-05,hemoglobin subunit alpha 1,Down
KCNQ4,-2.307186603,1.9e-05,potassium voltage-gated channel subfamily Q member 4,Down
TSPAN1,-2.299454664,1.86e-05,tetraspanin 1,Down
COL7A1,2.178336601,1.1e-05,collagen type VII alpha 1 chain,Up
SVEP1,-2.026310994,4.8e-06,"sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1",Down
CCL14,-2.73644126,7.26e-05,C-C motif chemokine ligand 14,Down
ECRG4,-3.38343079,0.000215111,ECRG4 augurin precursor,Down
SP6,2.629178149,5.64e-05,Sp6 transcription factor,Up
CDC25B,2.088399891,7.37e-06,cell division cycle 25B,Up
ASGR1,3.129911669,0.000157137,asialoglycoprotein receptor 1,Up
ADH1B,-3.897421842,0.000370017,"alcohol dehydrogenase 1B (class I), beta polypeptide",Down
PDE7B,-2.241299171,1.62e-05,phosphodiesterase 7B,Down
EBF4,-2.497304176,4.12e-05,EBF family member 4,Down
ATP11A,1.855060792,1.56e-06,ATPase phospholipid transporting 11A,Up
ADAMTS1,-2.682058548,6.91e-05,ADAM metallopeptidase with thrombospondin type 1 motif 1,Down
ENTPD3,-2.35888408,2.7e-05,ectonucleoside triphosphate diphosphohydrolase 3,Down
TPO,-3.469478618,0.000253898,thyroid peroxidase,Down
ZNF185,2.13523641,1.06e-05,zinc finger protein 185 with LIM domain,Up
NKAIN4,3.10333236,0.000159053,sodium/potassium transporting ATPase interacting 4,Up
P2RY14,-2.241226758,1.8e-05,purinergic receptor P2Y14,Down
CIMAP1C,-2.592823672,6.08e-05,ciliary microtubule associated protein 1C,Down
CDC45,2.068778789,8.37e-06,cell division cycle 45,Up
CRACD,-2.045049583,7.38e-06,capping protein inhibiting regulator of actin dynamics,Down
SLC22A5,-1.897851817,2.94e-06,solute carrier family 22 member 5,Down
NEGR1,-3.023283171,0.000153087,neuronal growth regulator 1,Down
NBPF1,-1.913225161,3.47e-06,NBPF member 1,Down
GNAL,-2.121660388,1.23e-05,G protein subunit alpha L,Down
CNN1,-5.10810072,0.000782657,calponin 1,Down
BMP2,-2.135544364,1.33e-05,bone morphogenetic protein 2,Down
PKMYT1,2.111853041,1.19e-05,"protein kinase, membrane associated tyrosine/threonine 1",Up
CXCL11,3.639728714,0.000335113,C-X-C motif chemokine ligand 11,Up
HBA2,-2.385819372,3.72e-05,hemoglobin subunit alpha 2,Down
SNTB1,2.019161109,7.47e-06,syntrophin beta 1,Up
TREM2,2.348645704,3.33e-05,triggering receptor expressed on myeloid cells 2,Up
IL1R2,-2.183643805,1.77e-05,interleukin 1 receptor type 2,Down
ETFDH,-1.913668733,3.91e-06,electron transfer flavoprotein dehydrogenase,Down
LRRC2,2.287202829,2.73e-05,leucine rich repeat containing 2,Up
FAXDC2,-2.008911811,7.46e-06,fatty acid hydroxylase domain containing 2,Down
SULT1B1,-2.131352085,1.46e-05,sulfotransferase family 1B member 1,Down
KCNN4,2.388134958,4.07e-05,potassium calcium-activated channel subfamily N member 4,Up
TTC28,-1.990291146,7.24e-06,tetratricopeptide repeat domain 28,Down
CDHR2,-2.295955038,3.04e-05,cadherin related family member 2,Down
TCEAL7,-3.503897768,0.000314967,transcription elongation factor A like 7,Down
CA1,-6.800185357,0.001237499,carbonic anhydrase 1,Down
PACC1,1.928913294,5.37e-06,proton activated chloride channel 1,Up
UGT1A3,-2.5993198,7.95e-05,UDP glucuronosyltransferase family 1 member A3,Down
SMPDL3A,-2.134517419,1.75e-05,sphingomyelin phosphodiesterase acid like 3A,Down
BIRC5,2.057911852,1.26e-05,baculoviral IAP repeat containing 5,Up
KIFC1,1.984301773,8.56e-06,kinesin family member C1,Up
CACNB1,-1.957765163,7.71e-06,calcium voltage-gated channel auxiliary subunit beta 1,Down
SHCBP1,2.021411672,1.12e-05,SHC binding and spindle associated 1,Up
PAK3,-2.667214362,0.000104997,p21 (RAC1) activated kinase 3,Down
CD160,-2.929312316,0.000173122,CD160 molecule,Down
CKAP2L,2.619968976,9.65e-05,cytoskeleton associated protein 2 like,Up
DACH1,2.238605581,3.21e-05,dachshund family transcription factor 1,Up
SAMD4A,-2.474998843,6.83e-05,sterile alpha motif domain containing 4A,Down
R3HDML,3.256367658,0.000275427,R3H domain containing like,Up
TOMM34,1.738876914,1.74e-06,translocase of outer mitochondrial membrane 34,Up
ARHGAP44,-2.187809554,2.7e-05,Rho GTPase activating protein 44,Down
UGDH,-1.813209973,3.44e-06,UDP-glucose 6-dehydrogenase,Down
H3C12,2.279247873,3.93e-05,H3 clustered histone 12,Up
CASQ2,-5.804495872,0.001104402,calsequestrin 2,Down
ANO2,-2.48814204,7.53e-05,anoctamin 2,Down
SNTG2,-3.629798726,0.000419214,syntrophin gamma 2,Down
FUT1,2.17518018,2.82e-05,fucosyltransferase 1 (H blood group),Up
MET,1.939425581,8.95e-06,"MET proto-oncogene, receptor tyrosine kinase",Up
HSPH1,1.714725207,1.7e-06,heat shock protein family H (Hsp110) member 1,Up
GCNA,2.688966324,0.000124453,germ cell nuclear acidic peptidase,Up
PDE4D,-1.896568867,7.51e-06,phosphodiesterase 4D,Down
DES,-5.437106554,0.001036367,desmin,Down
UGT1A4,-2.591749327,0.000105037,UDP glucuronosyltransferase family 1 member A4,Down
SHISA3,-3.177177728,0.000276275,shisa family member 3,Down
LPAR1,-1.97343547,1.25e-05,lysophosphatidic acid receptor 1,Down
SLC4A4,-4.946570645,0.000899595,solute carrier family 4 member 4,Down
MAPK15,2.240709931,4.04e-05,mitogen-activated protein kinase 15,Up
ZNF135,-3.0801283,0.000248674,zinc finger protein 135,Down
P3H2,-2.182647137,3.32e-05,prolyl 3-hydroxylase 2,Down
PRR11,2.016943474,1.62e-05,proline rich 11,Up
TRANK1,-1.917561358,9.47e-06,tetratricopeptide repeat and ankyrin repeat containing 1,Down
APOC1,2.24280227,4.17e-05,apolipoprotein C1,Up
UGP2,-1.751759966,3.01e-06,UDP-glucose pyrophosphorylase 2,Down
TEDC2,2.091417289,2.36e-05,tubulin epsilon and delta complex 2,Up
GNAO1,-4.109334684,0.000633521,G protein subunit alpha o1,Down
FOS,-2.083678995,2.31e-05,"Fos proto-oncogene, AP-1 transcription factor subunit",Down
SLC9A1,-1.774078731,3.8e-06,solute carrier family 9 member A1,Down
GPR143,3.743445265,0.000504774,G protein-coupled receptor 143,Up
GNA11,-1.641978394,1.31e-06,G protein subunit alpha 11,Down
ADTRP,-2.454603511,8.74e-05,androgen dependent TFPI regulating protein,Down
NTRK2,-3.013557953,0.000249511,neurotrophic receptor tyrosine kinase 2,Down
IFITM1,1.753633613,3.79e-06,interferon induced transmembrane protein 1,Up
CXCL12,-2.378401968,7.53e-05,C-X-C motif chemokine ligand 12,Down
UNC79,-3.540113376,0.000455808,"unc-79 homolog, NALCN channel complex subunit",Down
BHMT2,-2.181809963,4.21e-05,betaine--homocysteine S-methyltransferase 2,Down
