Gene_ID,Gene_Symbol,Gene_Description,log2FoldChange,adjusted.P.Value,Regulation
7272,TTK,TTK protein kinase,2.76477549465879,6.05022089742871e-11,UP
1160,CKMT2,"creatine kinase, mitochondrial 2",3.29196963002774,2.31158430104467e-08,UP
646627,LYPD8,LY6/PLAUR domain containing 8,-3.44045933519764,6.30108215193325e-08,DOWN
339855,KY,kyphoscoliosis peptidase,-4.32066274717231,2.35252028319604e-06,DOWN
10913,EDAR,ectodysplasin A receptor,3.26230447709008,2.25247927834124e-08,UP
1501,CTNND2,catenin delta 2,-4.49406284643811,3.87813421515073e-06,DOWN
4223,MEOX2,mesenchyme homeobox 2,-4.20988456154674,1.92529798746811e-06,DOWN
28231,SLCO4A1,solute carrier organic anion transporter family member 4A1,2.85181423615729,5.16376602152467e-10,UP
126,ADH1C,"alcohol dehydrogenase 1C (class I), gamma polypeptide",-4.99072986852187,1.03358493658481e-05,DOWN
4319,MMP10,matrix metallopeptidase 10,4.47695730649725,4.34723747530134e-06,UP
54894,RNF43,ring finger protein 43,2.83944246186485,7.07332942757791e-10,UP
57016,AKR1B10,aldo-keto reductase family 1 member B10,-3.51365741191053,1.93030311662395e-07,DOWN
3899,AFF3,ALF transcription elongation factor 3,-3.30712899564506,5.9771853136298e-08,DOWN
84733,CBX2,chromobox 2,2.93998385289873,3.29698565057554e-09,UP
660,BMX,BMX non-receptor tyrosine kinase,-2.9091230980448,3.06165780031069e-09,DOWN
3576,CXCL8,C-X-C motif chemokine ligand 8,3.50474925366405,2.48222510110422e-07,UP
3800,KIF5C,kinesin family member 5C,-3.24181239598657,5.83768462440847e-08,DOWN
83959,SLC4A11,solute carrier family 4 member 11,3.89770174965394,1.28099499808287e-06,UP
202559,KHDRBS2,"KH RNA binding domain containing, signal transduction associated 2",-4.07697961462493,2.25987508470289e-06,DOWN
1030,CDKN2B,cyclin dependent kinase inhibitor 2B,-3.08432419246381,1.9566760890372e-08,DOWN
63928,CHP2,calcineurin like EF-hand protein 2,-3.13830167787123,3.03932026156701e-08,DOWN
2674,GFRA1,GDNF family receptor alpha 1,-3.36083428278903,1.42557865984653e-07,DOWN
79628,SH3TC2,SH3 domain and tetratricopeptide repeats 2,3.28236122179572,8.95523115896811e-08,UP
9073,CLDN8,claudin 8,-4.24968428868673,3.90982808524575e-06,DOWN
2045,EPHA7,EPH receptor A7,-5.16935319263627,2.02615389157906e-05,DOWN
259266,ASPM,assembly factor for spindle microtubules,2.58174583636744,5.79880062920089e-11,UP
9499,MYOT,myotilin,-3.97258776280408,1.94149427131477e-06,DOWN
123745,PLA2G4E,phospholipase A2 group IVE,4.2453167512228,4.13437724043155e-06,UP
6332,SCN7A,sodium voltage-gated channel alpha subunit 7,-4.71813900807334,1.09520389620808e-05,DOWN
256158,HMCN2,hemicentin 2,-3.84969680386213,1.48583838117398e-06,DOWN
23302,WSCD1,WSC domain containing 1,-3.04108852135836,2.31362615482895e-08,DOWN
2675,GFRA2,GDNF family receptor alpha 2,-3.00374173792798,1.69322672993135e-08,DOWN
1087,CEACAM7,CEA cell adhesion molecule 7,-3.65665858379485,7.65484983517548e-07,DOWN
4605,MYBL2,MYB proto-oncogene like 2,2.89142713828869,6.11964339564184e-09,UP
387104,MTCL3,MTCL family member 3,-3.43831076138093,2.9931686209427e-07,DOWN
4355,MPP2,MAGUK p55 scaffold protein 2,-3.98441424208221,2.37709792765831e-06,DOWN
93035,PKHD1L1,PKHD1 like 1,-4.17722339167135,4.10046584816915e-06,DOWN
257019,FRMD3,FERM domain containing 3,-3.26364887208266,1.22178838063275e-07,DOWN
84623,KIRREL3,kirre like nephrin family adhesion molecule 3,-4.3432166242758,6.07642427514997e-06,DOWN
2199,FBLN2,fibulin 2,-2.96037493772897,1.5648215100431e-08,DOWN
80258,EFHC2,EF-hand domain containing 2,-3.97142624626402,2.66647856521706e-06,DOWN
6703,SPRR2D,small proline rich protein 2D,4.43905553036324,8.10639419653673e-06,UP
3782,KCNN3,potassium calcium-activated channel subfamily N member 3,-2.92936769914708,1.39007345243666e-08,DOWN
2348,FOLR1,folate receptor alpha,4.60739294483214,1.1857922779931e-05,UP
4747,NEFL,neurofilament light chain,-4.52923276416376,1.09689381213374e-05,DOWN
729,C6,complement C6,-4.12700564529854,4.8828137852257e-06,DOWN
687,KLF9,KLF transcription factor 9,-2.61302580148255,5.82389608109623e-10,DOWN
4118,MAL,"mal, T cell differentiation protein",-3.74723069505282,1.90037474233316e-06,DOWN
23584,VSIG2,V-set and immunoglobulin domain containing 2,-3.13147595891006,1.29951630159742e-07,DOWN
4969,OGN,osteoglycin,-2.96788052183556,4.46293544625755e-08,DOWN
6662,SOX9,SRY-box transcription factor 9,2.61656270360581,1.20374146025221e-09,UP
221662,RBM24,RNA binding motif protein 24,-2.98274748979541,5.05605096635748e-08,DOWN
1589,CYP21A2,cytochrome P450 family 21 subfamily A member 2,-3.65533075426196,1.62310525776452e-06,DOWN
24137,KIF4A,kinesin family member 4A,2.50189219731415,2.14318892732696e-10,UP
30818,KCNIP3,potassium voltage-gated channel interacting protein 3,-3.83825033251252,3.21107703140308e-06,DOWN
9145,SYNGR1,synaptogyrin 1,-3.52300009518687,1.12095046763599e-06,DOWN
4151,MB,myoglobin,-3.26116988523526,3.65985018356637e-07,DOWN
100170841,EPOP,elongin BC and polycomb repressive complex 2 associated protein,3.51019797680681,1.16577187335204e-06,UP
10446,LRRN2,leucine rich repeat neuronal 2,-3.52994099572821,1.38884266260693e-06,DOWN
5764,PTN,pleiotrophin,-3.49419788748051,1.35941408349891e-06,DOWN
57464,STRIP2,striatin interacting protein 2,2.86431334205448,4.09723351161062e-08,UP
2260,FGFR1,fibroblast growth factor receptor 1,-3.39426332859244,9.52602854049367e-07,DOWN
10351,ABCA8,ATP binding cassette subfamily A member 8,-3.27530507612536,5.70939570480707e-07,DOWN
9928,KIF14,kinesin family member 14,2.95162665258916,8.8955344746744e-08,UP
9068,ANGPTL1,angiopoietin like 1,-2.84405627423161,3.89995874161545e-08,DOWN
85409,NKD2,NKD inhibitor of WNT signaling pathway 2,2.98744157317867,1.15098042069338e-07,UP
54821,ERCC6L,"ERCC excision repair 6 like, spindle assembly checkpoint helicase",2.72946173263687,1.43912901246335e-08,UP
84803,GPAT3,glycerol-3-phosphate acyltransferase 3,-2.71890236865774,1.34585758188203e-08,DOWN
2532,ACKR1,atypical chemokine receptor 1 (Duffy blood group),-3.95919432728686,6.34434306820899e-06,DOWN
2273,FHL1,four and a half LIM domains 1,-4.26278539476004,1.228135755184e-05,DOWN
83540,NUF2,NUF2 component of NDC80 kinetochore complex,2.96152979597924,1.22614159444334e-07,UP
1510,CTSE,cathepsin E,-3.14271799397597,4.06956579602974e-07,DOWN
84069,PLEKHN1,pleckstrin homology domain containing N1,3.10514859253479,3.67375423877012e-07,UP
284992,CCDC150,coiled-coil domain containing 150,3.4804328094873,2.0292951713578e-06,UP
1837,DTNA,dystrobrevin alpha,-3.14837541257235,5.36062772231135e-07,DOWN
4359,MPZ,myelin protein zero,-2.81886026416185,7.88353115105657e-08,DOWN
9892,SNAP91,synaptosome associated protein 91,-4.3054385286073,1.7878245037854e-05,DOWN
