Symbol,Module,Degree,Log2FC
EFNA5,7,9,-2.417732882
EFNA3,7,9,2.340982154
TNFSF11,7,9,2.191539492
VEGFD,7,8,-3.185387653
ZEB1,7,8,-2.28937165
TNFRSF9,7,8,2.060623408
IL11RA,7,8,-1.680664268
BMP7,7,8,1.775830813
EREG,7,7,2.410362469
MMP13,7,7,5.219968865
TNFRSF8,7,7,2.94483702
ANPEP,7,7,-3.436382728
ICOS,7,7,1.99467595
TNFRSF4,7,7,2.059540654
MMP11,7,6,3.971343857
IL1RN,7,6,1.724638556
TRAF5,7,6,1.390476249
GAB1,7,6,-1.150558841
TLR3,7,6,-1.738899799
BSG,7,6,-1.084892016
PDGFA,7,6,-1.253296741
CASP7,7,6,-2.007361155
CNTFR,7,6,-4.324112115
IL6ST,7,6,-1.194644349
ALK,7,6,-3.373775636
PTPRZ1,7,6,-6.586245129
TIA1,7,6,1.111012245
LIFR,7,6,-3.177446096
KLB,7,5,-2.491955226
SMAD7,7,5,-1.088957343
COL10A1,7,5,2.682355282
ACKR1,7,5,-3.959194327
RETN,7,4,3.328768097
LYVE1,7,4,-3.894110653
MMP10,7,4,4.476957306
SLC25A4,7,4,-1.739179311
IL1R2,7,4,-2.183643805
UGP2,7,4,-1.751759966
PSMA7,7,4,1.105213707
CFB,7,4,2.056765498
MSX2,7,3,3.648843399
CMA1,7,3,-2.843331525
MNX1,7,3,1.541858354
IRAK2,7,3,1.562489252
C6,7,3,-4.127005645
EPHA1,7,3,1.473934071
CD46,7,3,1.287732701
GREM2,7,3,-4.474820714
LMBR1,7,3,1.099685672
EPHB3,7,3,2.373424409
PTN,7,3,-3.494197887
NTRK3,7,3,-3.455119406
EPHA7,7,3,-5.169353193
MPL,7,3,-2.408225956
UBD,7,3,2.944708334
NFIB,7,3,-1.110268745
TWIST2,7,3,-3.018816762
UCHL3,7,3,1.265872488
CCL14,7,3,-2.73644126
SOX5,7,3,-2.063214949
MMP12,7,3,2.66926922
EPHB2,7,3,1.484887411
MADCAM1,7,2,-2.793500268
CTSG,7,2,-2.931419103
CTSH,7,2,1.750352579
RIPK2,7,2,1.53738923
GALK1,7,2,1.190302377
FOXF1,7,2,-2.66350223
MASP1,7,2,-4.42605477
