Gene_ID,Gene_Symbol,Gene_Description,Gene_Biotype,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
217,ALDH2,aldehyde dehydrogenase 2 family member,protein_coding,6325.84043061424,-0.309841468614705,0.275530465575826,-1.12452707531696,0.26078949097803,0.404415503696893
8550,MAPKAPK5,MAPK activated protein kinase 5,protein_coding,1660.30396050078,0.53071860367203,0.187802619673198,2.82593823555578,0.00471423531027433,0.0172101099711922
89894,TMEM116,transmembrane protein 116,protein_coding,119.175658628851,-0.717939821905262,0.486673274743087,-1.47519878153215,0.140159108958169,0.25614596127539
10961,ERP29,endoplasmic reticulum protein 29,protein_coding,1204.73046651968,0.391094974521632,0.180577684101712,2.16579903805469,0.0303265468944876,0.0774934220230672
80018,NAA25,"N-alpha-acetyltransferase 25, NatB auxiliary subunit",protein_coding,593.318584794457,1.17204603980179,0.183329423831136,6.39311472926114,1.62540208329903e-10,5.2574656123486e-09
10906,TRAFD1,TRAF-type zinc finger domain containing 1,protein_coding,805.649602236428,-0.00190542302190169,0.283904462449369,-0.00671149373793835,0.994645042968184,0.996020266051338
283450,HECTD4,HECT domain E3 ubiquitin protein ligase 4,protein_coding,3147.37256304823,-0.297574262397896,0.197653469728541,-1.50553523197234,0.132186525895371,0.245234786542498
6128,RPL6,ribosomal protein L6,protein_coding,6333.87621375502,0.587858851644579,0.208748752058626,2.81610714242489,0.00486094526974577,0.0175961102540056
5781,PTPN11,protein tyrosine phosphatase non-receptor type 11,protein_coding,5953.29413759426,0.0261511307833043,0.233249090612949,0.112116753444065,0.910730833851036,0.945035156483186
4938,OAS1,2'-5'-oligoadenylate synthetase 1,protein_coding,1354.7244444912,-0.578783771889869,0.417352488133451,-1.38679842182898,0.165503238485166,0.289656750019531
4940,OAS3,2'-5'-oligoadenylate synthetase 3,protein_coding,915.948697059451,0.437454884419042,0.309528960920168,1.41329225904605,0.157569809119849,0.279470234349534
4939,OAS2,2'-5'-oligoadenylate synthetase 2,protein_coding,211.437457613038,0.735566514039908,0.353328683460832,2.08181941764558,0.0373589674320041,0.091464679524151
1840,DTX1,deltex E3 ubiquitin ligase 1,protein_coding,43.7023292672269,-1.23397561073995,0.543819695809581,-2.26908959026012,0.0232628782802159,0.0625929617819151
8437,RASAL1,RAS protein activator like 1,protein_coding,132.816135308292,0.938306253232776,0.479472321237336,1.9569560361928,0.0503526374316758,0.116205906669002
387885,CFAP73,cilia and flagella associated protein 73,protein_coding,30.6517577535677,0.847243080802029,0.419456919652852,2.01985720369858,0.0433982015255349,0.103010436165911
79039,DDX54,DEAD-box helicase 54,protein_coding,1762.98233918435,0.548846777104195,0.209846276104981,2.61547065447861,0.00891045777160009,0.0288831300952159
84934,RITA1,RBPJ interacting and tubulin associated 1,protein_coding,90.3257377308661,0.303514663243143,0.253897928877242,1.19542000435101,0.23192297372003,0.371907286891439
115811,IQCD,IQ motif containing D,protein_coding,12.5349190480162,0.498247638410816,0.503231549924013,0.990096186310357,0.322127107247824,0.470949039190297
53373,TPCN1,two pore segment channel 1,protein_coding,1939.27404517459,-0.284402329315375,0.209026014589651,-1.36060733815214,0.173637811353841,0.300216110139766
80024,SLC8B1,solute carrier family 8 member B1,protein_coding,613.077683407841,-0.393906168643189,0.300111838970811,-1.31253125499491,0.189340947501198,0.320467537439033
196463,PLBD2,phospholipase B domain containing 2,protein_coding,1130.8889298247,0.282412006537881,0.155716602786524,1.81362810056322,0.0697350011785465,0.149889761242868
10993,SDS,serine dehydratase,protein_coding,17.1005042755047,1.50988059438677,0.837952758118261,1.80186839861642,0.0715661132030183,0.152839527402036
113675,SDSL,serine dehydratase like,protein_coding,123.428921559131,0.077017007553017,0.455695959456731,0.169009634504626,0.865789063180053,0.915644353657122
9904,RBM19,RNA binding motif protein 19,protein_coding,947.541037619988,0.398265605456778,0.14442676534734,2.75756093061399,0.00582343592164277,0.0203581942461123
6926,TBX3,T-box transcription factor 3,protein_coding,669.183676235119,0.977458626795171,0.417940886928872,2.33874851053164,0.0193484529278025,0.0542147231070369
23389,MED13L,mediator complex subunit 13L,protein_coding,10872.9137670185,-0.21105704593899,0.193246954200117,-1.09216234125185,0.274761751802176,0.419483206078329
643246,MAP1LC3B2,microtubule associated protein 1 light chain 3 beta 2,protein_coding,97.014071802394,-0.547594068246337,0.44365575106808,-1.23427695218203,0.217099721190181,0.354345204349014
79794,SPRING1,SREBF pathway regulator in golgi 1,protein_coding,249.879749506215,0.028631951207228,0.324200757954256,0.0883154974340557,0.929625921913147,0.955023657553451
84900,RNFT2,"ring finger protein, transmembrane 2",protein_coding,55.6780929286628,1.43470823415594,0.430710820519901,3.33102435741953,0.00086527030878891,0.00418272571207361
26259,FBXW8,F-box and WD repeat domain containing 8,protein_coding,373.665263468421,0.223171037408879,0.212958042650442,1.0479577790598,0.294658059760791,0.441676206272956
54997,TESC,tescalcin,protein_coding,419.043651341227,3.34643330082968,0.57492174217633,5.82067619875006,5.86100189661084e-09,1.25330641327013e-07
23014,FBXO21,F-box protein 21,protein_coding,544.12369122569,0.178060380328403,0.207655354220509,0.857480323571726,0.391179484579757,0.539967423060424
4842,NOS1,nitric oxide synthase 1,protein_coding,222.489486743584,-6.0487920703903,0.847283837756982,-7.13903865604623,9.39859031020827e-13,4.87731206814484e-11
283455,KSR2,kinase suppressor of ras 2,protein_coding,79.5834226149812,-1.343159749075,0.774564040280002,-1.73408482607771,0.0829030334372791,0.170852249288407
5985,RFC5,replication factor C subunit 5,protein_coding,280.559004228145,0.873342688242555,0.324518305523726,2.6911969937508,0.00711961406146455,0.0240418672280309
55884,WSB2,WD repeat and SOCS box containing 2,protein_coding,1588.58514884355,-0.546317583369222,0.182905405095508,-2.98688594294931,0.00281834848854186,0.0111807690217029
54621,VSIG10,V-set and immunoglobulin domain containing 10,protein_coding,680.192256065577,-0.415899210943855,0.215971786107217,-1.92571084603332,0.0541404888493018,0.122937876670075
5037,PEBP1,phosphatidylethanolamine binding protein 1,protein_coding,3657.37238500518,0.159441096230983,0.238121006083535,0.669580138490804,0.503125478744345,0.642133194796805
51347,TAOK3,TAO kinase 3,protein_coding,1268.04448586905,-0.176583875735036,0.211169772979193,-0.836217576236324,0.403032512281766,0.550936779057087
64426,SUDS3,"SDS3 homolog, SIN3A corepressor complex component",protein_coding,593.955264233676,0.100161693852088,0.252255856921893,0.39706389803707,0.691320341428229,0.794920566543207
26353,HSPB8,heat shock protein family B (small) member 8,protein_coding,2924.54767422098,-5.94952240133251,0.548083998679489,-10.8551288044658,1.88540795646976e-27,9.72301043284584e-25
160777,CCDC60,coiled-coil domain containing 60,protein_coding,12.9762853572333,0.0734687281544725,0.743264693555774,0.0988459815076088,0.921260559269883,0.950709849852417
5564,PRKAB1,protein kinase AMP-activated non-catalytic subunit beta 1,protein_coding,876.075750343449,0.287371949233202,0.199263883559344,1.44216776316927,0.149255052385037,0.268468919407186
11113,CIT,citron rho-interacting serine/threonine kinase,protein_coding,1038.03428227082,1.50831484663862,0.27021778695994,5.58184886201523,2.37975137819175e-08,4.36584784778834e-07
92558,BICDL1,BICD family like cargo adaptor 1,protein_coding,201.828614297512,1.42487428759863,0.402175620465362,3.54291561967355,0.000395729301203017,0.00216062232036704
11021,RAB35,"RAB35, member RAS oncogene family",protein_coding,902.913718616435,-0.0270187567778003,0.211728330229302,-0.127610493827345,0.898457226161298,0.937222147497958
10985,GCN1,GCN1 activator of EIF2AK4,protein_coding,5460.56085565477,0.360481532996671,0.210310657931967,1.71404310433608,0.0865208097780582,0.176647095144367
6175,RPLP0,ribosomal protein lateral stalk subunit P0,protein_coding,31708.8659268465,0.717019943276245,0.247311989565785,2.89925265869699,0.00374053339492467,0.0141871141376719
5829,PXN,paxillin,protein_coding,2969.32201271733,-0.332482764499558,0.30943593898054,-1.07448011887354,0.28260755068433,0.428282075991592
23409,SIRT4,sirtuin 4,protein_coding,16.8266250902323,-0.393227990874294,0.670418893769264,-0.586540735246089,0.557512195583888,0.688438706748436
4440,MSI1,musashi RNA binding protein 1,protein_coding,63.8392671712592,0.943081592232953,0.794189986612708,1.18747605501208,0.235039896093569,0.375603855441929
1337,COX6A1,cytochrome c oxidase subunit 6A1,protein_coding,8260.00619281021,-0.0495167962867807,0.23901145205011,-0.207173321035676,0.835874502034296,0.897018695739007
51499,TRIAP1,TP53 regulated inhibitor of apoptosis 1,protein_coding,71.7564462928822,0.607625209506149,0.281895678692957,2.155496715393,0.0311229853810636,0.0790435570174961
283459,GATC,glutamyl-tRNA amidotransferase subunit C,protein_coding,322.499455295431,0.692877504216082,0.170363903285589,4.06704407948777,4.76132394642683e-05,0.000352664003110619
8683,SRSF9,serine and arginine rich splicing factor 9,protein_coding,704.992693121592,0.487060422418163,0.213107632269649,2.28551374359918,0.0222827214883379,0.0605918339132766
8655,DYNLL1,dynein light chain LC8-type 1,protein_coding,1843.52896133278,0.0872869286907177,0.228862257360971,0.381395035150095,0.702910144501556,0.803367216954163
84274,COQ5,"coenzyme Q5, methyltransferase",protein_coding,663.941039160993,0.206399468529856,0.237979860611831,0.867298047823106,0.385778726042971,0.534545168725986
9921,RNF10,ring finger protein 10,protein_coding,2703.78126757471,-0.433684577251984,0.150097755993067,-2.88934750811342,0.00386042193512463,0.0145688510637304
51367,POP5,"POP5 homolog, ribonuclease P/MRP subunit",protein_coding,171.123630010398,0.358930610112069,0.236100509313567,1.52024496328117,0.128449420655509,0.239770332729658
9761,MLEC,malectin,protein_coding,2702.92136522668,0.835135150465873,0.235154098773518,3.55143777982883,0.000383132567449137,0.00210218126105656
84747,UNC119B,unc-119 lipid binding chaperone B,protein_coding,152.13288214873,0.0820267750773315,0.285801820940771,0.287005781864247,0.774107893112981,0.854035981421024
35,ACADS,acyl-CoA dehydrogenase short chain,protein_coding,1104.97937128579,-1.39524659402616,0.316270749400401,-4.41155749202646,1.02629694857909e-05,9.31098405992911e-05
121665,SPPL3,signal peptide peptidase like 3,protein_coding,1069.75242085054,-0.127461544658998,0.229890763936972,-0.554443956234549,0.579275050583904,0.705790213035889
6927,HNF1A,HNF1 homeobox A,protein_coding,1012.69043220393,1.63120875598693,0.363178612093609,4.49147802670298,7.07305992047321e-06,6.74816908105628e-05
64897,C12orf43,chromosome 12 open reading frame 43,protein_coding,177.944814025457,0.276846574962595,0.29357783404415,0.943009120099173,0.345676238050477,0.494909735577554
8638,OASL,2'-5'-oligoadenylate synthetase like,protein_coding,330.385016648387,-1.26894770652956,0.668738881659179,-1.89752344499728,0.0577588874899046,0.129356164158658
5027,P2RX7,purinergic receptor P2X 7,protein_coding,87.208742318067,-1.51793450892552,0.487707042387752,-3.11238997389479,0.00185579175073864,0.00794903033782572
5025,P2RX4,purinergic receptor P2X 4,protein_coding,753.884922729367,-1.09252873903765,0.338610692403382,-3.22650395734147,0.0012531249908413,0.00570343062771429
10645,CAMKK2,calcium/calmodulin dependent protein kinase kinase 2,protein_coding,821.454721170583,-0.279259907393919,0.304842942305152,-0.91607798193463,0.359625995230592,0.508544128060374
51433,ANAPC5,anaphase promoting complex subunit 5,protein_coding,1486.70558996284,0.456114054260121,0.24820330014938,1.8376631333492,0.0661120595298546,0.143866059784235
80196,RNF34,ring finger protein 34,protein_coding,841.970281866073,0.0346926149422993,0.15531665829148,0.223366993108958,0.823249891067301,0.888850248814411
84678,KDM2B,lysine demethylase 2B,protein_coding,738.402084861324,0.479726169013925,0.170667730090353,2.81087800699027,0.00494065148191642,0.0178411819609286
84876,ORAI1,ORAI calcium release-activated calcium modulator 1,protein_coding,949.773157215438,0.520716445807448,0.286936804727637,1.81474260961997,0.0695634736459383,0.149636924586007
144404,TMEM120B,transmembrane protein 120B,protein_coding,593.791153963217,-0.771305056009561,0.421926808122051,-1.8280541581194,0.0675414239700763,0.146231484337605
54509,RHOF,"ras homolog family member F, filopodia associated",protein_coding,615.468954059903,-1.16704026389956,0.667232377811843,-1.74907618800936,0.0802778506728831,0.166887362599387
23067,SETD1B,"SET domain containing 1B, histone lysine methyltransferase",protein_coding,1435.01045062812,-0.270747833424276,0.209194453608422,-1.29424001809853,0.195582527885666,0.328561289786146
3242,HPD,4-hydroxyphenylpyruvate dioxygenase,protein_coding,32.1086502774919,-1.52246710868869,0.493333243978195,-3.08608253603923,0.00202812516887291,0.0085206832441576
5715,PSMD9,"proteasome 26S subunit, non-ATPase 9",protein_coding,468.038648221106,0.0297044691551297,0.214051321815914,0.138772649956704,0.889629807006072,0.931297703764986
